4E00,Y
4E01,D
4E02,Y
4E03,Q
4E04,S
4E05,X
4E06,M
4E07,W
4E08,Z
4E09,S
4E0A,S
4E0B,X
4E0C,J
4E0D,B
4E0E,Y
4E0F,M
4E10,G
4E11,C
4E12,C
4E13,Z
4E14,Q
4E15,P
4E16,S
4E17,S
4E18,Q
4E19,B
4E1A,Y
4E1B,C
4E1C,D
4E1D,S
4E1E,C
4E1F,D
4E20,Q
4E21,L
4E22,D
4E23,Y
4E24,L
4E25,Y
4E26,B
4E27,S
4E28,S
4E29,J
4E2A,G
4E2B,Y
4E2C,Z
4E2D,Z
4E2E,J
4E2F,J
4E30,F
4E31,K
4E32,C
4E33,C
4E34,L
4E35,Z
4E37,H
4E38,W
4E39,D
4E3A,W
4E3B,Z
4E3C,J
4E3D,L
4E3E,J
4E3F,P
4E40,F
4E41,Y
4E42,Y
4E43,N
4E44,W
4E45,J
4E46,J
4E47,T
4E48,M
4E49,Y
4E4A,H
4E4B,Z
4E4C,W
4E4D,Z
4E4E,H
4E4F,F
4E50,L
4E51,Z
4E52,P
4E53,P
4E54,Q
4E55,H
4E56,G
4E57,S
4E58,C
4E59,Y
4E5A,Y
4E5B,Y
4E5C,N
4E5D,J
4E5E,Q
4E5F,Y
4E60,X
4E61,X
4E62,G
4E63,J
4E64,H
4E65,H
4E66,S
4E67,D
4E68,S
4E69,J
4E6A,N
4E6B,K
4E6C,K
4E6D,T
4E6E,M
4E6F,O
4E70,M
4E71,L
4E72,C
4E73,R
4E74,X
4E75,Y
4E76,P
4E77,S
4E78,N
4E79,Q
4E7A,S
4E7B,E
4E7C,C
4E7D,C
4E7E,Q
4E7F,Z
4E80,G
4E81,G
4E82,L
4E83,L
4E84,Y
4E85,J
4E86,L
4E87,M
4E88,Y
4E89,Z
4E8A,Z
4E8B,S
4E8C,E
4E8D,C
4E8E,Y
4E8F,K
4E90,Y
4E91,Y
4E92,H
4E93,Q
4E94,W
4E95,J
4E96,S
4E97,S
4E98,G
4E99,G
4E9A,Y
4E9B,X
4E9C,Y
4E9D,Z
4E9E,Y
4E9F,J
4EA0,W
4EA1,W
4EA2,K
4EA3,D
4EA4,J
4EA5,H
4EA6,Y
4EA7,C
4EA8,H
4EA9,M
4EAA,Y
4EAB,X
4EAC,J
4EAD,T
4EAE,L
4EAF,X
4EB0,J
4EB1,Y
4EB2,Q
4EB3,B
4EB4,Y
4EB5,X
4EB6,Z
4EB7,L
4EB8,D
4EB9,W
4EBA,R
4EBB,D
4EBC,J
4EBD,R
4EBE,W
4EBF,Y
4EC0,S
4EC1,R
4EC2,L
4EC3,D
4EC4,Z
4EC5,J
4EC6,P
4EC7,C
4EC8,B
4EC9,Z
4ECA,J
4ECB,J
4ECC,B
4ECD,R
4ECE,C
4ECF,F
4ED0,T
4ED1,L
4ED2,E
4ED3,C
4ED4,Z
4ED5,S
4ED6,T
4ED7,Z
4ED8,F
4ED9,X
4EDA,X
4EDB,Z
4EDC,H
4EDD,T
4EDE,R
4EDF,Q
4EE0,H
4EE1,Y
4EE2,B
4EE3,D
4EE4,L
4EE5,Y
4EE6,C
4EE7,Z
4EE8,S
4EE9,S
4EEA,Y
4EEB,M
4EEC,M
4EED,R
4EEE,F
4EEF,M
4EF0,Y
4EF1,Q
4EF2,Z
4EF3,P
4EF4,W
4EF5,W
4EF6,J
4EF7,J
4EF8,Y
4EF9,F
4EFA,C
